Time,Heading,A_X,A_Y,A_Z,G_X,G_Y,G_Z,RV_X,RV_Y,RV_Z,RV_W,RV_C
1551151846576,206.0,-0.15864205,-0.9269476,0.43482018,-0.041030884,0.15583801,0.28738403,0.08237985,-0.26105013,-0.81105214,0.5169728,0.2617994
1551151846676,204.0,0.16211486,-0.33269358,0.21281242,-0.0134887695,0.105026245,0.03955078,0.08912115,-0.24374768,-0.81300586,0.5212158,0.2617994
1551151846777,204.0,0.16211486,-0.33269358,0.21281242,-0.0134887695,0.105026245,0.03955078,0.08912115,-0.24374768,-0.81300586,0.5212158,0.2617994
1551151846878,204.0,-0.067337036,-0.5691142,0.35181618,-0.021911621,0.010482788,0.0058898926,0.087388195,-0.23581833,-0.81266606,0.525668,0.2617994
1551151846978,203.0,-0.067337036,-0.5691142,0.35181618,-0.021911621,0.010482788,0.0058898926,0.087388195,-0.23581833,-0.81266606,0.525668,0.2617994
1551151847078,201.0,-0.27881742,-0.33885813,0.26868725,-0.17024231,-0.03504944,0.25984192,0.06968055,-0.22352098,-0.8027501,0.5484298,0.2617994
1551151847179,200.0,-0.27881742,-0.33885813,0.26868725,-0.17024231,-0.03504944,0.25984192,0.06968055,-0.22352098,-0.8027501,0.5484298,0.2617994
1551151847280,201.0,0.1053257,-0.14115119,0.22730923,-0.30952454,-0.2090149,0.21260071,0.030723065,-0.21076523,-0.79703814,0.56512326,0.2617994
1551151847379,203.0,0.1053257,-0.14115119,0.22730923,-0.30952454,-0.2090149,0.21260071,0.030723065,-0.21076523,-0.79703814,0.56512326,0.2617994
1551151847479,206.0,0.040818453,-0.7875042,0.570302,0.07737732,-0.3869629,-0.29685974,0.007986933,-0.23492166,-0.81397533,0.5312176,0.2617994
1551151847579,210.0,0.040818453,-0.7875042,0.570302,0.07737732,-0.3869629,-0.29685974,0.007986933,-0.23492166,-0.81397533,0.5312176,0.2617994
1551151847680,213.0,-0.13832498,-1.0570793,0.53789616,0.1331482,-0.31378174,-0.5673828,0.0014079853,-0.25781184,-0.8404095,0.47669998,0.2617994
1551151847780,212.0,-0.13832498,-1.0570793,0.53789616,0.1331482,-0.31378174,-0.5673828,0.0014079853,-0.25781184,-0.8404095,0.47669998,0.2617994
1551151847881,207.0,-1.5243607,-0.6936884,0.16639519,0.11413574,-0.06222534,0.3565216,-0.0034484514,-0.2660206,-0.81857234,0.5090781,0.2617994
1551151847980,202.0,-1.5243607,-0.6936884,0.16639519,0.11413574,-0.06222534,0.3565216,-0.0034484514,-0.2660206,-0.81857234,0.5090781,0.2617994
1551151848080,201.0,0.71336865,-0.032198668,-0.2008009,-0.17417908,0.01550293,0.7210541,-0.03209608,-0.25134134,-0.7826507,0.5685554,0.2617994
1551151848181,208.0,0.71336865,-0.032198668,-0.2008009,-0.17417908,0.01550293,0.7210541,-0.03209608,-0.25134134,-0.7826507,0.5685554,0.2617994
1551151848281,211.0,-0.88795924,-0.4489472,0.57250404,-0.4151001,-0.2552948,-0.97932434,-0.0494287,-0.23276997,-0.84355223,0.48145053,0.2617994
1551151848380,198.0,-0.88795924,-0.4489472,0.57250404,-0.4151001,-0.2552948,-0.97932434,-0.0494287,-0.23276997,-0.84355223,0.48145053,0.2617994
1551151848481,188.0,-0.6394634,0.26508164,-0.23491383,0.16856384,0.7857361,1.736084,-0.010033824,-0.19610928,-0.7398412,0.643487,0.2617994
1551151848581,177.0,-0.6394634,0.26508164,-0.23491383,0.16856384,0.7857361,1.736084,-0.010033824,-0.19610928,-0.7398412,0.643487,0.2617994
1551151848681,174.0,1.1483586,-0.9540031,0.7704916,0.07562256,0.08633423,1.3531799,-0.028445201,-0.1939326,-0.64437735,0.7391609,0.2617994
1551151848781,171.0,1.1483586,-0.9540031,0.7704916,0.07562256,0.08633423,1.3531799,-0.028445201,-0.1939326,-0.64437735,0.7391609,0.2617994
1551151848882,170.0,-0.38436222,-0.19087589,0.06520367,-0.26457214,-0.08091736,0.37057495,-0.060377516,-0.18113704,-0.62033135,0.76074505,0.2617994
1551151848983,170.0,-0.38436222,-0.19087589,0.06520367,-0.26457214,-0.08091736,0.37057495,-0.060377516,-0.18113704,-0.62033135,0.76074505,0.2617994
1551151849082,169.0,-0.36711526,-0.6368948,0.25365067,0.08930969,-0.119155884,0.059829712,-0.06295647,-0.19337338,-0.61456263,0.76220465,0.2617994
1551151849183,169.0,-0.36711526,-0.6368948,0.25365067,0.08930969,-0.119155884,0.059829712,-0.06295647,-0.19337338,-0.61456263,0.76220465,0.2617994
1551151849284,169.0,-0.36711526,-0.6368948,0.25365067,0.08930969,-0.119155884,0.059829712,-0.06295647,-0.19337338,-0.61456263,0.76220465,0.2617994
1551151849387,169.0,-0.36711526,-0.6368948,0.25365067,0.08930969,-0.119155884,0.059829712,-0.06295647,-0.19337338,-0.61456263,0.76220465,0.2617994
1551151849487,169.0,-0.36711526,-0.6368948,0.25365067,0.08930969,-0.119155884,0.059829712,-0.06295647,-0.19337338,-0.61456263,0.76220465,0.2617994
